,,order_id,product_id,title,sku_id,sku_name,brand,kind,function,stock_num,天猫链接,天猫链接2,产品名称 ,SKU名称,天猫价格,new_url_1,price1,price2,new_url_2
12,,2400,59292941,百植萃维B5烟酰胺护手霜,116991471,40g,百植萃,护手霜,"美白提亮,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.44.43534aaeIGrwQp&id=629322805063,,百植萃维B5烟酰胺角鲨烷滋润补水保湿护手霜油小支清爽不油腻男女,40g,58.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.44.43534aaeIGrwQp&id=629322805063&skuId=4644613666708,58.00,-1,
13,,9110,59292954,百植萃维生素B5富勒烯保湿面霜,116989818,50g,百植萃,面霜,"补水保湿,美白提亮,滋润",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.475c4aaeeMcFD6&id=610298426180,,百植萃富勒烯B5烟酰胺提亮肤色补水保湿修护养肤面霜女滋润护肤,富勒烯面膜 提亮肤色 补水保湿 所有肤质50g,388.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.40.475c4aaeeMcFD6&id=610298426180&skuId=4462577855874,388.00,-1,
14,,6290,59292912,百植萃油橄榄舒缓精华水,117004646,150ml,百植萃,精华,"补水保湿,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.39.10234aaeSvNOK5&id=632461753506,,百植萃油橄榄舒缓精华化妆爽肤水积雪草二裂酵母清爽控油补水保湿,油橄榄舒缓精华水 补水保湿 舒缓肌肤,178.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.39.10234aaeSvNOK5&id=632461753506&skuId=4516573737216,178.00,-1,
15,,,59292969,百植萃鱼子精华紧致眼霜,116985976,14g,,眼霜/眼部精华,,0,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.44da4aaeb8LVWe&id=622247786852,,百植萃鱼子精华眼霜维生素VCE补水保湿紧致平滑熊猫眼绽亮双眸,14g,288.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21502388637.37.44da4aaeb8LVWe&id=622247786852&skuId=4566743450146,288.00,-1,
16,,6150,59256864,博乐达氨基酸焕颜洁面慕斯,116942209,150ml,博乐达,洁面,控油,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.45.43e9241cgeG2ke&id=600759989300,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.57.43e9241cgeG2ke&id=611021396773,博乐达水杨酸氨基酸洗面奶女男去痘黑头温和控油泡沫清洁面乳慕斯,150ml,164.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.45.43e9241cgeG2ke&id=600759989300&skuId=4202411697779,164.00,179.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.57.43e9241cgeG2ke&id=611021396773&skuId=4750664254253
17,,6120,59256900,博乐达去屑控油护发露,116929754,120g,博乐达,护发,"控油,护发",99,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.46.3bf9241cRVKYyd&id=594741984083,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.50.3bf9241cRVKYyd&id=629301686226,博乐达去屑控油护发露水杨酸超分子活性锌无硅油顺发养头皮护发素,120g,253.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.46.3bf9241cRVKYyd&id=594741984083&skuId=4296385807879,253.00,268.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.50.3bf9241cRVKYyd&id=629301686226&skuId=4683840961017
18,,5610,59256885,博乐达水杨酸祛痘调理凝露,116935223,所有肤质30g,博乐达,凝露,"收缩毛孔,去黑头",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.46.8585241cOMjh8M&id=562755784080,,博乐达水杨酸凝露去闭口粉刺痘痘超分子凝胶细致毛孔黑头男女修护,所有肤质30g,235.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.46.8585241cOMjh8M&id=562755784080&skuId=4642931145678,235.00,-1,
19,,,67771658,博乐达透明质酸敷料,141361188,1贴/袋 x 5,,洁面,,99,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.35.7f34241cZ87iBT&id=656438177779,,博乐达透明质酸玻尿酸医用无菌敷料创面防护术后修护保湿非面膜女,1盒,154.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.35.7f34241cZ87iBT&id=656438177779&skuId=4913087495953,154.00,-1,
20,,6350,59256908,博乐达小奶瓶焕颜亮肤精华,116923981,35ml,博乐达,精华,美白提亮,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.49.3a34241ccgNFFx&id=603975365553,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.61.3a34241ccgNFFx&id=619623625660,博乐达小奶瓶10%烟酰胺精华亮肤去黄透亮肤色面部水杨酸去痘淡印,烟酰胺精华 净透肌底 35ml,474.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.49.3a34241ccgNFFx&id=603975365553&skuId=4399987474356,474.00,499.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.61.3a34241ccgNFFx&id=619623625660&skuId=4376307180673
21,,9500,59256890,博乐达滋养保湿护理霜30g,116927663,所有肤质30g,博乐达,面霜,补水保湿,100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.41.24db241cn99fYD&id=574207881774,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.45.24db241cn99fYD&id=640937265426,博乐达水杨酸去痘印滋养修护屏障女温和敏感肌角鲨烷刷保湿酸面霜,所有肤质30g,173.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.41.24db241cn99fYD&id=574207881774&skuId=3924110819912,173.00,188.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.45.24db241cn99fYD&id=640937265426&skuId=4603925292541
